MFL_Code,Facility_Name,County,SubCounty,Owner,Latitude,Longitude
13121,Ngaira Rhodes Dispensary,Nairobi,Starehe,Local Authority,-1.2922,36.8238
13105,Mutuini Sub-District Hospital,Nairobi,Dagoretti South,Ministry of Health,-1.2891,36.6944
11446,Kaderboy Medical Clinic (Old Town),Mombasa,Mvita,Ministry of Health,-4.0632,39.6753
27408,Bomu Medical Centre - Old Town,Mombasa,Mvita,Non- Governmental Organizations,-4.0641,39.6797
13939,Jaramogi Oginga Odinga Teaching & Referral Hospital,Kisumu,Kisumu Central,Ministry of Health,-0.0886,34.7704
15945,Kilingili Health Centre,Kakamega,Ikolomani,Ministry of Health,0.131,34.6827
14692,Kapchelal Health Centre,Elgeyo Marakwet,Keiyo North,Ministry of Health,0.674319,35.501897
14024,Rae Dispensary,Kisumu,Nyakach,Ministry of Health,-0.2382,34.9569
14304,Chebunyo Dispensary,Bomet,Chepalungu,Ministry of Health,-0.9639,35.1917
14111,St Joseph's Obaga Dispensary,Siaya,Rarieda,Ministry of Health,-0.2067,34.3247
13509,Bora Bora Clinic,Homa Bay,Ndhiwa,Private Enterprise (Institution),-0.7307,34.3685
21027,Kyumbi Health Centre,Machakos,Athi River,Ministry of Health,-1.45238,36.97668
18414,Masaba Hospital Kisumu,Kisumu,Kisumu West,Private Practice - General Practitioner,-0.0393,34.6288
15072,Lomil Dispensary,Turkana,Loima,Ministry of Health,0.865298,36.452774
13903,Nyamasibi Health Centre,Kisii,Nyaribari Masaba,Ministry of Health,-0.8241,34.9555
12730,Shalom Community Hospital (Machakos),Machakos,Machakos,Private Practice - General Practitioner,-1.5246,37.2663
11284,Chewele Dispensary,Tana River,Bura,Ministry of Health,-1.1623021,39.95398162
11740,Port Reitz Sub County Hospital,Mombasa,Changamwe,Ministry of Health,-4.0388,39.6031
16526,St Bennedticto Health Centre,Kilifi,Magarini,Private Enterprise (Institution),-3.198,40.111
16014,Mechimeru Model Health Center,Bungoma,Kanduyi,Ministry of Health,0.5652,34.6584
15502,Rumuruti District Hospital,Laikipia,Laikipia West,Ministry of Health,0.2715,36.5332
13915,Nyamrisra Health Centre,Homa Bay,Suba South,Ministry of Health,-0.5703,34.0969
12167,Kamuthanga Dispensary,Machakos,Machakos,Ministry of Health,-1.4043,37.2247
19719,Swop Kawangware,Nairobi,Dagoretti South,Non-Governmental Organizations,-1.2918,36.735
15002,Kurangurik Health centre,Narok,Transmara East,Ministry of Health,-1.0638,35.0779
22479,ICRH Drop in centre,Kilifi,Kilifi North,Non-Governmental Organizations,-3.624,39.8487
15996,Malava Sub County Hospital,Kakamega,Malava,Ministry of Health,0.4487,34.8539
21256,Ndakaini Dispensary,Murang'a,Gatanga,Ministry of Health,-0.82601,36.83976
15732,Tom Mboya Health Centre,Trans Nzoia,Saboti,Local Authority,1.0294,34.9961
15605,Sogoo Health Centre,Narok,Narok South,Ministry of Health,-0.8193,35.5809
12071,Igoki Dispensary,Meru,Imenti North,Ministry of Health,0.0279,37.6785
